epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,914.794,1.07893,0.93072,1.04127,0.34072,0.42656,0.29801,0.17324,1.41978,2.09845,1.15214,0.000848969,0.000848969,0.000848969
43,935.684,1.09063,0.95922,1.03869,0.33025,0.44084,0.26909,0.14919,1.44471,2.25273,1.15357,0.000834822,0.000834822,0.000834822
44,959.694,1.07711,0.9085,1.03087,0.29105,0.33497,0.25055,0.14073,1.41204,2.02316,1.14297,0.000820675,0.000820675,0.000820675
45,982.041,1.1142,0.9283,1.04661,0.269,0.52459,0.26829,0.15111,1.46612,2.11534,1.16073,0.000806528,0.000806528,0.000806528
46,1003.83,1.06635,0.88096,1.03289,0.3048,0.37634,0.25872,0.15331,1.4394,2.02203,1.14942,0.00079238,0.00079238,0.00079238
47,1028.1,1.07521,0.85028,1.04385,0.35957,0.37023,0.29237,0.17911,1.45183,2.00369,1.14026,0.000778233,0.000778233,0.000778233
48,1048.24,1.06332,0.84453,1.0348,0.40298,0.45138,0.35182,0.20905,1.4343,1.90579,1.13487,0.000764086,0.000764086,0.000764086
49,1067.15,1.06901,0.84675,1.02913,0.38588,0.48828,0.37387,0.21527,1.41221,2.00782,1.13676,0.000749939,0.000749939,0.000749939
50,1089.08,1.09451,0.87195,1.0477,0.31314,0.45249,0.32484,0.19657,1.41246,2.13483,1.14802,0.000735792,0.000735792,0.000735792
51,1108.64,1.02291,0.80468,1.0099,0.25395,0.49581,0.27678,0.16439,1.47234,2.57394,1.16167,0.000721645,0.000721645,0.000721645
52,1130.86,1.03427,0.80645,1.00935,0.3164,0.42355,0.30912,0.18467,1.42763,1.97269,1.12947,0.000707498,0.000707498,0.000707498
53,1153.4,1.03781,0.7993,1.01727,0.27727,0.42857,0.30256,0.18574,1.42794,1.82951,1.12852,0.000693351,0.000693351,0.000693351
54,1175.48,1.02338,0.83394,1.02508,0.32346,0.3509,0.27757,0.16287,1.40945,2.1096,1.12305,0.000679204,0.000679204,0.000679204
55,1199.29,1.0374,0.80356,1.0158,0.43168,0.37891,0.3378,0.20091,1.41094,1.86589,1.12309,0.000665057,0.000665057,0.000665057
56,1220.43,1.03763,0.7857,1.0256,0.37257,0.457,0.34764,0.21028,1.40379,1.80356,1.11898,0.000650909,0.000650909,0.000650909
57,1241.92,1.00911,0.75032,1.00145,0.36522,0.39489,0.30883,0.17943,1.41692,1.91804,1.12367,0.000636762,0.000636762,0.000636762
58,1264.41,1.02262,0.76457,1.02473,0.34914,0.50242,0.32469,0.19079,1.44529,1.86524,1.13974,0.000622615,0.000622615,0.000622615
59,1287.62,1.02678,0.77568,1.00507,0.31672,0.48912,0.32301,0.19214,1.42988,1.92012,1.14231,0.000608468,0.000608468,0.000608468
60,1305.78,0.99906,0.73855,1.00277,0.27464,0.43969,0.26127,0.15584,1.42913,2.09517,1.13848,0.000594321,0.000594321,0.000594321
61,1329.62,0.97455,0.7459,0.99699,0.27568,0.44756,0.26718,0.16078,1.40224,2.07588,1.13999,0.000580174,0.000580174,0.000580174
62,1349.05,1.00879,0.76761,1.01661,0.34481,0.43333,0.30956,0.18496,1.44088,1.93714,1.14344,0.000566027,0.000566027,0.000566027
63,1370.3,0.99661,0.78551,1.00063,0.39048,0.35874,0.32456,0.19364,1.43277,1.93911,1.14763,0.00055188,0.00055188,0.00055188
64,1391.89,0.99345,0.73809,1.00478,0.35997,0.48699,0.34339,0.20537,1.43305,2.03747,1.14263,0.000537733,0.000537733,0.000537733
